installation_s3ic_id,description,date,georisques_id,ocr_status,size
0065.00005,APC poursuite de l'exploitation ,2010-02-09,P/c/b6896c18c4964031a644c67b4618d88c,SUCCESS,199821.0
0065.00005,AP complémentaire (art 18 déc. 77),2008-02-20,P/4/accddfc8ec3941998ad0588c071c39d4,SUCCESS,271161.0
0065.00037,APC-AP complémentaire (Art. R. 512-31),2011-01-25,P/c/91e4aacb00994b34898f78f3182f543c,SUCCESS,132432.0
0065.00037,APC - modifiant conditions exploitation,2008-01-09,P/1/29cdec79afe1484aac478c0d06d79901,SUCCESS,2315586.0
0065.00049,Nouveau document,2016-11-04,P/4/8acb34015a601eb2015a602221ca0004,SUCCESS,3844527.0
0065.00055,Nouveau document,2018-03-19,P/4/8acb34016248b61e016248d96fbd0024,SUCCESS,4422942.0
0065.00055,Arrêté préfectoral concernant CORNING SAS daté du 31/01/2013,2013-01-31,P/3/8acb34013caa6451013caa7d4cbf0033,SUCCESS,514622.0
0065.00055,AP complémentaire (Art. R. 512-31),2010-04-19,P/d/ea3e1714a10b45df9025c2e50f6ea20d,SUCCESS,3204695.0
0065.00055,APC,2009-12-23,P/b/72e68f98ca6f4482b1b1fb6820345f5b,SUCCESS,2885507.0
0065.00060,Prescriptions complémentaires modifiant les conditions d'exploitation de la carrière,2007-04-11,P/7/ef6f38676eef405485454812052ed1b7,SUCCESS,243104.0
0065.00060,Autorisation d'exploiter,2006-06-21,P/9/13a74ed6b1834b78b94782341ef40619,SUCCESS,2879111.0
0065.00062,Poursuite de l'exploitation de l'installation de concassage et prolongation de l'autorisation,2006-06-23,P/f/800a9de275f941d8b5b758f8acfc4f1f,SUCCESS,2299313.0
0065.00067,Arrêté préfectoral de prescriptions,2020-02-06,P/4/8acb34fd702014fc0170201b90440004,SUCCESS,10912682.0
0065.00067, SCBV Arrêté préfectoral de Prescriptions,2018-05-29,P/7/8acb34fd6a6d3bed016a6d7ff6d30007,SUCCESS,8904742.0
0065.00067,Arrêté préfectoral,2016-02-19,P/5/8acb34015351591301535174ae400005,SUCCESS,365265.0
0065.00067,AP d'autorisation,2010-07-06,P/6/9107c345c15a46e681e2a5546dca78d6,SUCCESS,2757796.0
0065.00067,Poursuite et extension de l'exploitation + refus d'extraction sur une partie de parcelle,2005-07-19,P/b/c4daaa86ba0e4acca923cc211e9b742b,SUCCESS,1956701.0
0065.00079,AP Complémentaire,2016-02-09,P/9/8acb340152c614f70152c669bf130009,SUCCESS,570516.0
0065.00081,APC,2010-01-06,P/7/fb0652d50c984e629654b6aab54ff8a7,SUCCESS,1578738.0
0065.00137,Arrêté préfectoral d'Autorisation,2021-04-15,P/c/8acb34fd78f994840178f9f263d5000c,SUCCESS,6651388.0
0065.00137,Arrêté préfectoral de prescription,2019-06-18,P/4/8acb34fd6b79a83e016b79b298c80004,SUCCESS,715736.0
0065.00137,Prescriptions complémentaires relatif au montant des GF pour la remise en état d'une carrière,1999-05-03,P/f/ef1b49c091ea4f3d9e1b11f325dd84ff,SUCCESS,428946.0
0065.00180,Arrêté préfectoral concernant INITIAL BTB daté du 15/06/2012,2012-06-15,P/5/927033bc85404857b9e85b24d1946265,SUCCESS,2393430.0
0065.00219,Arrêté Préfectoral de Prescriptions,2019-06-21,P/e/8acb34fd6b97ef15016b98374f04000e,SUCCESS,1300847.0
0065.00219,LAFARGE GRANULATS LA BROSSE MONTCEAUX,2017-09-28,P/b/8acb34015f345a0b015f34838be3000b,SUCCESS,178868.0
0065.00219,Arrêté préfectoral concernant LAFARGE GRANULATS SEINE NORD  la brosse  daté du 19/01/2015,2015-01-19,P/a/0d5ea0423e984b6b865555e19310889a,SUCCESS,2738854.0
0065.00219,Poursuite et extension de l'exploitation,2005-01-10,P/5/bbca0dbda73045349a3254821a0c2185,SUCCESS,2174884.0
0065.00230,Arrêté préfectoral concernant HOLOGRAM INDUSTRIES daté du 19/03/2015,2015-03-19,P/2/8acb34014c562008014c5638feef0012,SUCCESS,3046388.0
0065.00230,Autre concernant HOLOGRAM INDUSTRIES daté du 18/04/2012,2012-04-18,P/1/75277fe52fa44da9a084ae6b7bc18501,SUCCESS,2550473.0
0065.00230,AP d'autorisation,2011-06-30,P/b/27ea9045ccbd4138bae66c61dcc1a0fb,SUCCESS,4174595.0
0065.00231,Arrêté préfectoral concernant SMAB DECHETS Montereau daté du 21/10/2014,2014-10-21,P/8/8acb34014941f26301494202b1e60018,SUCCESS,405682.0
0065.00231,Arrêté préfectoral concernant SMAB DECHETS Montereau daté du 26/11/2012,2012-11-26,P/8/0a339abb75a44e4ebbc6a55662f58f58,SUCCESS,2007999.0
0065.00234,Correction des écarts constatés relatifs au stockage de matières dangereuses,2007-01-24,P/3/d94d0920e80d4e02992f50ab857dc6c3,SUCCESS,410096.0
0065.00237,Arrêté préfectoral concernant RABOURDIN SAS (ex RABOURDIN GR INDUSTRIE daté du 11/02/2016,2016-02-11,P/b/8acb340152f9ddc70152fa0b5ab0001b,SUCCESS,2358093.0
0065.00238,Arrêté préfectoral concernant BNF CENTRE TECHNIQUE DU LIVRE daté du 12/05/2015,2015-05-12,P/a/8acb34014d6bf60b014d6c078150000a,SUCCESS,272918.0
0065.00238,Arrêté préfectoral concernant BNF CENTRE TECHNIQUE DU LIVRE daté du 05/05/2014,2014-05-05,P/5/8acb34014614c8cb014614cc6d010005,SUCCESS,167789.0
0065.00242,AP complémentaire (Art. R. 512-31),2011-04-04,P/c/62223e86921a4b3a8eb23e77aa5c30ec,SUCCESS,9059113.0
0065.00247,"Arrêté préfectoral concernant AGIDIS LOGISTIC (ex SCAMAC, ex SEDMA) daté du 16/05/2013",2013-05-16,P/5/8acb34013ef59754013ef5baace80005,SUCCESS,2434266.0
0065.00251,SAMIN Buthiers APC Plans,2017-10-30,P/8/8acb34015f814483015f8153d00c0008,SUCCESS,1720884.0
0065.00251,SAMIN Buthiers APC,2017-10-30,P/c/8acb34015f814483015f8153d173000c,SUCCESS,513643.0
0065.00251,Arrêté Préfectoral de Mise en Demeure,2015-10-02,P/5/8acb340150cda0030150cdad971b0005,SUCCESS,310142.0
0065.00251,AP complémentaire (Art. R. 512-31),2011-06-10,P/b/a34d4540460c4417a15747fb32f93e2b,SUCCESS,1013494.0
0065.00251,AP complémentaire (Art. R. 512-31) installation concassage calcaire ,2010-10-12,P/0/b5bfa8515c4d4c09b2a95cdc14d70dc0,SUCCESS,414746.0
0065.00251,AP complémentaire (Art. R. 512-31),2010-08-20,P/4/d4b9b4f6dc624250ac99d6e8b4e11a14,SUCCESS,1045988.0
0065.00251,Prescriptions complémentaires relatives au montant des GF pour la remise en état de la carrière,1999-05-03,P/a/c63be3e87d614efba067dbe1648db27a,SUCCESS,385104.0
0065.00254,APC,2009-12-15,P/f/947805ebefda41e2be9597a9cd7b8b6f,SUCCESS,1312146.0
0065.00254,AP complémentaire (art 18 déc. 77),2008-02-20,P/d/32c02b8bd941498fa6b0173c4c60aafd,SUCCESS,256156.0
0065.00280,Arrêté préfectoral de prescriptions complémentaires,2019-05-17,P/9/8acb34fd6ae8c9d0016ae9175e820009,SUCCESS,365888.0
0065.00280,AP complémentaire (art 18 déc. 77) chex plus gf,2007-10-17,P/1/d06f9ba5621545be88985885dae3a361,SUCCESS,168546.0
0065.00280,Renouvellement et extension de la carrière,2002-03-07,P/4/9bf9fa1292594ddeaaf3fb2624644204,SUCCESS,1635582.0
0065.00287,AP complémentaire (art 18 déc. 77),2007-03-14,P/7/eb952f05b8354d13a9a00af509b21047,SUCCESS,210846.0
0065.00288,Arrêté préfectoral concernant LEROUX DIDIER daté du 15/11/2013,2013-11-15,P/f/8acb3401426f467401426fa7dd40000f,SUCCESS,270085.0
0065.00288,"APC interdisant stockage, démontage de VHU",2009-10-07,P/d/a827d413a0d64200a377090e559ab94d,SUCCESS,232281.0
0065.00303,Nouveau document,2020-12-29,P/c/8acb34fd76e247150176e2537ef9001c,SUCCESS,970345.0
0065.00303,Nouveau document,2016-12-20,P/4/8acb34015949cb69015949e68ac60014,SUCCESS,320735.0
