s3ic_id,rubrique,alinea,regime,activite,date_autorisation,date_mise_en_service,last_substantial_modif_date,state,rubrique_acte,alinea_acte,regime_acte,volume,unit
0074.06572,1630,2,D,Soude ou potasse caustique,2018-04-13,,1998-09-23,En fonctionnement,1630,B-2,D,240.000,t
0065.18698,2712,1,E,"Stockage, dépollution, démontage,… de VHU",2015-12-22,,,En fonctionnement,2712,1-b,E,1100.000,m2
0065.07390,2910,B-1,E,Combustion,2019-06-07,2019-06-07,2019-06-07,En fonctionnement,2910,B-1,E,0.700,MW
0065.07390,4510,2,D,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,2019-06-07,2019-06-07,2019-06-07,En fonctionnement,4510,2,D,22.000,t
0065.18730,2716,1,E,déchets non dangereux non inertes (transit),2020-12-23,2017-11-20,2016-07-11,En fonctionnement,2716,1,E,1435.000,m3
0065.07025,2925,1,D,Charge d'accumulateurs dégageant de l'hydrogène,2017-03-22,1999-11-04,2017-03-22,En fonctionnement,2925,#,D,240.000,kW
0065.05094,4130,2-a,A,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,2020-09-14,2020-09-14,2020-09-14,En fonctionnement,4130,2-a,A,26.900,t
0065.18730,2515,1-b,D,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",2020-12-23,2017-11-20,2016-07-11,En fonctionnement,2515,1-b,D,200.000,kW
0065.18730,2517,,NC,Station de transit de produits minéraux autres,2020-12-23,2017-11-20,2016-07-11,En fonctionnement,2517,,NC,8000.000,m2
0065.05094,47xx,,NC,,,2020-09-14,2020-09-14,En fonctionnement,47xx,,NC,,
0065.18814,2515,1-b,D,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",2016-02-09,2016-02-09,2016-02-09,En fonctionnement,2515,1-c,D,200.000,kW
0074.04508,1185,2-b,D,Quantité susceptible d'être présente,2019-05-14,2007-03-02,2019-05-14,En fonctionnement,1185,2-b,D,6566.000,kg
0074.05194,1510,2-b,E,Entrepot enregistré,2020-12-24,1998-10-30,,En fonctionnement,1510,2,E,79160.000,m3
0065.02645,47xx,,NC,,,2016-08-02,2018-07-03,En fonctionnement,47xx,,NC,,
0065.05094,1978,2,D,Héliogravure d’édition,2020-09-14,2020-09-14,2020-09-14,En fonctionnement,1978,2,D,750.000,t/an
0074.06572,47xx,,NC,,,,1988-12-15,En fonctionnement,47xx,,NC,,
0065.05476,2718,1,A,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),2019-11-19,2019-11-19,2019-11-19,En fonctionnement,2718,1,A,36.000,t
0074.04287,2515,1-b,D,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",1814-11-23,1998-02-04,,En fonctionnement,2515,2,D,189.000,kW
0065.04001,4510,,NC,Dangereux pour l’environnement aquatique 1,2016-09-28,2016-09-02,2016-09-28,En fonctionnement,4510,,NC,19.000,t
0065.02851,4331,,NC,Liquides inflammables de catégorie 2 ou catégorie 3,2018-05-18,2011-01-21,2018-05-18,En fonctionnement,4331,,NC,44.350,t
0065.02851,47xx,,NC,,,,2018-05-18,En fonctionnement,47xx,,NC,,
0065.13109,2910,,NC,Installation de combustion,2019-03-06,2009-03-30,2009-03-30,En fonctionnement,2910,#,NC,1.800,MW
0065.01167,3420,a,A,gaz,2014-06-20,2013-05-02,,En fonctionnement,3420,a,A,50.000,
0065.07792,1530,2,D,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",2019-02-12,2019-02-12,2019-02-12,En fonctionnement,1530,3,D,4900.000,m3
0065.12042,4331,2,E,Liquides inflammables de catégorie 2 ou catégorie 3,2015-12-21,2015-12-21,2015-12-21,En fonctionnement,4331,2,E,111.000,t
0065.12042,4441,2,D,"Liquides comburants catégorie 1,2 ou 3",2015-12-21,2015-12-21,2015-12-21,En fonctionnement,4441,2,D,9.000,t
0065.07792,4331,3,D,Liquides inflammables de catégorie 2 ou catégorie 3,2019-02-12,2019-02-12,2019-02-12,En fonctionnement,4331,3,D,86.000,t
0065.12042,4510,,NC,Dangereux pour l’environnement aquatique 1,2015-12-21,2015-12-21,2015-12-21,En fonctionnement,4510,,NC,1.900,t
0065.21700,2517,1,E,Produits minéraux ou déchets non dangereux inertes (transit),2017-03-17,,,En fonctionnement,2517,1,A,50000.000,m2
0065.07792,4510,,NC,Dangereux pour l’environnement aquatique 1,2019-02-12,2019-02-12,2019-02-12,En fonctionnement,4510,,NC,0.500,t
0065.12042,1630,2,D,Soude ou potasse caustique,2015-12-21,2009-12-17,2015-12-21,En fonctionnement,1630,2,D,150.000,t
0065.02284,2515,1,NC,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",2019-11-29,2010-11-23,2019-11-29,En fonctionnement,2515,1,NC,750.000,kW
0065.06309,2221,2,D,"Supérieure à 500 kg/j, mais inférieure ou égale à 4 t/j",2019-12-05,1997-11-05,2021-02-16,En fonctionnement,2221,2,D,0.000,t/j
0065.12623,1530,1,E,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",2011-07-28,2011-07-28,2011-07-28,En fonctionnement,1530,2,E,48751.000,m3
