,Unnamed: 0,s3ic_id,rubrique,alinea,regime,activite,date_autorisation,date_mise_en_service,last_substantial_modif_date,state,rubrique_acte,alinea_acte,regime_acte,volume,unit
14,114,0052.08458,2710,1-b,D,collecte de déchets dangereux-DC,2019-10-26,2018-10-08,2019-10-26,En fonctionnement,2710,1-b,D,7.000,t
15,118,0052.08458,2718,2,D,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),2019-10-26,2019-10-26,,En fonctionnement,2718,2,D,0.900,t
21,147,0587.00598,47xx,,NC,,,,,En fonctionnement,47xx,,NC,,
36,220,0052.01635,47xx,,NC,,,,2016-01-25,En fonctionnement,47xx,,NC,,
67,289,0072.04856,47xx,,NC,,,2014-11-25,2014-11-25,En fonctionnement,47xx,,NC,,
140,627,0052.08746,2517,,NC,Station de transit de produits minéraux autres,2009-11-09,2009-11-09,2009-11-09,En fonctionnement,2517,#,NC,15000.000,m3
143,637,0052.05965,1434,,NC,Installations de remplissage ou de distribution de liquides inflammables,2002-01-22,2002-01-22,,En fonctionnement,1434,#,NC,0.600,m3/h
152,671,0072.02885,2910,,NC,Installation de combustion,1814-11-23,2008-08-07,,En fonctionnement,2910,#,NC,0.900,MW
163,706,0052.05965,2910,A-2,D,Combustion,2002-01-22,2002-01-22,,En fonctionnement,2910,A-2,D,10.615,MW
186,792,0052.01789,2718,1,A,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),1995-09-13,1995-09-13,,En fonctionnement,167,a,A,3000.000,m2
187,793,0052.01789,2718,1,A,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),1995-09-13,1995-09-13,,En fonctionnement,167,a,A,1000.000,m2
199,837,0052.08746,2710,1-b,D,collecte de déchets dangereux-DC,2009-11-09,2009-11-09,2009-11-09,En fonctionnement,2710,2,D,2700.000,m2
213,911,0587.01399,2663,2,NC,Stockage de pneumatiques,2016-05-09,,,En fonctionnement,2663,2,NC,260.000,m3
217,917,0060.03490,1735,,A,"Dépôt, entreposage ou stockage de substances radioactives",2017-04-12,1997-07-08,2007-01-16,En fonctionnement,1735,,A,197000.000,t
223,950,0579.00380,1510,2-c,D,Entrepot déclaré,2020-04-08,2020-04-08,2020-04-08,En fonctionnement,1510,3,D,5000.000,m3
232,981,0052.04821,1435,,NC,Stations service,2014-12-18,2014-12-18,2014-12-18,En fonctionnement,1435,#,NC,20.000,m3
