s3ic_id,num_dep,region,department,city,name,lat,lon,last_inspection,regime,seveso,family,active,code_postal,code_insee,code_naf
0065.00005,77,ILE DE FRANCE,SEINE ET MARNE,AMILLIS,ACOLYANCE,708143,6848356,2021-03-18,A,NS,Industries,En fonctionnement,77120,77002,52.10B
0065.00037,77,ILE DE FRANCE,SEINE ET MARNE,AVON,GOULARD Enrobés,679897,6811435,2020-08-27,E,NS,Industries,En fonctionnement,77210,77014,23.99Z
0065.00049,77,ILE DE FRANCE,SEINE ET MARNE,BAGNEAUX SUR LOING,KERAGLASS ,678164,6792020,2020-10-29,A,SH,Industries,En fonctionnement,77167,77016,23.11Z
0065.00055,77,ILE DE FRANCE,SEINE ET MARNE,BAGNEAUX SUR LOING,CORNING SAS,678141,6792215,2018-01-10,A,NS,Industries,En fonctionnement,77167,77016,
0065.00060,77,ILE DE FRANCE,SEINE ET MARNE,BALLOY,GSM EST Balloy ex pex,712192,6810694,2020-01-09,A,NS,Carrières,En fonctionnement,77118,77019,08.12Z
0065.00062,77,ILE DE FRANCE,SEINE ET MARNE,BALLOY,GSM secteur IdF Est ,711874,6812745,2020-11-02,A,NS,Carrières,En fonctionnement,77118,77019,08.12Z
0065.00067,77,ILE DE FRANCE,SEINE ET MARNE,BANNOST VILLEGAGNON,SCBV,712765,6841729,2019-09-17,A,NS,Carrières,En fonctionnement,77970,77020,08.12Z
0065.00079,77,ILE DE FRANCE,SEINE ET MARNE,BAZOCHES LES BRAY,GSM secteur IdF Est,713038,6812908,2019-10-09,A,NS,Carrières,En fonctionnement,77118,77025,
0065.00081,77,ILE DE FRANCE,SEINE ET MARNE,BEAUCHERY ST MARTIN,ACOLYANCE,729808,6836600,2014-11-03,A,NS,Industries,En fonctionnement,77560,77026,
0065.00108,77,ILE DE FRANCE,SEINE ET MARNE,BLANDY,GEOPETROL SA,683218,6830545,2021-02-23,A,SB,Industries,En fonctionnement,77115,77034,06.10Z
0065.00117,77,ILE DE FRANCE,SEINE ET MARNE,BOIS LE ROI,SIEP STE IMPRESSION ET EDITION,677982,6817985,2014-09-03,A,NS,Industries,En fonctionnement,77590,77037,18.12Z
0065.00137,77,ILE DE FRANCE,SEINE ET MARNE,BOURRON MARLOTTE,SIBELCO France,675979,6804776,2020-12-14,A,NS,Carrières,En fonctionnement,77780,77048,08.12Z
0065.00142,77,ILE DE FRANCE,SEINE ET MARNE,BOURRON MARLOTTE,BERNARD BOIS,677078,6803639,2020-11-26,A,NS,Industries,En fonctionnement,77780,77048,16.10A
0065.00180,77,ILE DE FRANCE,SEINE ET MARNE,BRIE COMTE ROBERT,KALHYGE 4 - MNH GROUP,671199,6844950,2018-11-23,E,NS,Industries,En fonctionnement,77170,77053,
0065.00203,77,ILE DE FRANCE,SEINE ET MARNE,BOIS LE ROI,GILLARD SAS,678647,6819991,2015-02-02,A,NS,Industries,En fonctionnement,77590,77037,
0065.00219,77,ILE DE FRANCE,SEINE ET MARNE,LA BROSSE MONTCEAUX,LAFARGEHOLCIM Granulats,703028,6806636,2015-06-30,A,NS,Carrières,En fonctionnement,77940,77054,08.12Z
0065.00224,77,ILE DE FRANCE,SEINE ET MARNE,BUSSY ST GEORGES,TECH DATA FRANCE,679025,6859204,2018-11-20,A,NS,Industries,En fonctionnement,77600,77058,46.51Z
