,Unnamed: 0,s3ic_id,num_dep,region,department,city,name,lat,lon,last_inspection,regime,seveso,family,active,code_postal,code_insee,code_naf
1,5,0030.12015,67,GRAND EST,BAS-RHIN,BISCHOFFSHEIM,SOCIETE CARRIERES DE L'EST,1033708,6830603,2016-12-21,E,NS,Industries,En fonctionnement,67870,67045,
24,43,0030.12213,57,GRAND EST,MOSELLE,BEHREN LES FORBACH,TRI D'UNION,986984,6903009,2020-11-10,E,NS,Industries,En fonctionnement,57460,57058,88.99B
30,49,0030.12240,54,GRAND EST,MEURTHE ET MOSELLE,COURBESSEAUX,CSMSE,949146,6848902,,A,NS,Industries,En fonctionnement,54110,54139,
40,61,0030.12321,67,GRAND EST,BAS-RHIN,HOHWART,MEYER F. SARL (Distillerie),,,,A,NS,Industries,En fonctionnement,67220,67916,
48,79,0030.12475,54,GRAND EST,MEURTHE ET MOSELLE,BARBONVILLE,GSM,947996,6832267,2020-09-30,A,NS,Carrières,En fonctionnement,54360,54045,
52,83,0030.12501,51,GRAND EST,MARNE,LA CHAUSSEE SUR MARNE,PPPA KUNYSZ (ex-SCEA DE COULMIERS),811374,6861115,2018-04-17,E,NS,Volailles,En fonctionnement,51240,51141,
77,129,0030.12709,57,GRAND EST,MOSELLE,RUSSANGE,EUROVIA ALSACE LORRAINE,915342,6936108,2020-07-23,A,NS,Industries,En fonctionnement,57390,57603,42.11Z
91,147,0030.12817,67,GRAND EST,BAS-RHIN,PREUSCHDORF,ZACHER Mathias,1052293,6880745,2020-08-04,E,NS,Volailles,En fonctionnement,67250,67379,01.47Z
102,171,0030.12934,88,GRAND EST,VOSGES,DAMBLAIN,Scierie PERRU Jean,899232,6780111,,A,NS,Industries,En fonctionnement,88320,88123,
110,181,0030.13023,88,GRAND EST,VOSGES,SANS VALLOIS,EURL AGRI SOL APPRO,930702,6788469,,E,NS,Industries,En fonctionnement,88260,88441,35.11Z
158,267,0030.13609,67,GRAND EST,BAS-RHIN,REICHSTETT,PIERRE SCHMIDT Charcuterie,1051130,6848460,2020-11-13,E,NS,Industries,En fonctionnement,67116,67389,
163,275,0030.13654,57,GRAND EST,MOSELLE,HAMBACH,SEIFERT AUTOMOTIVE LOGISTICS FRANCE,995169,6890798,2020-02-14,A,NS,Industries,En fonctionnement,57910,57289,
181,302,0030.13924,10,GRAND EST,AUBE,LA MOTTE TILLY,COMMUNE de LA MOTTE-TILLY,732648,6819597,2019-07-10,E,NS,Industries,En fonctionnement,10400,10259,
185,307,0030.13942,68,GRAND EST,HAUT-RHIN,ENSISHEIM,EUROVIA 16,1026478,6761476,,A,NS,Industries,En fonctionnement,68190,68082,
186,308,0030.13951,68,GRAND EST,HAUT-RHIN,KINGERSHEIM,Travaux Publics SCHNEIDER,1022082,6752160,2020-04-28,E,NS,Industries,En fonctionnement,68260,68166,
190,315,0030.14040,55,GRAND EST,MEUSE,TRONVILLE EN BARROIS,CABANES INDUSTRIES,867742,6848850,2019-10-08,E,NS,Industries,En fonctionnement,55310,55519,
197,334,0030.14202,51,GRAND EST,MARNE,AUVE,SARL ARVA ENERGIES,823741,6882647,,E,NS,Industries,En fonctionnement,51800,51027,38.21Z
