,rubrique,regime,alinea
0,1111,D,
1,1116,D,
2,1131,D,
3,1136,D,
4,1138,A,
5,1138,D,
6,1139,D,
7,1140,D,
8,1141,D,
9,1150,D,
10,1156,D,
11,1157,D,
12,1158,D,
13,1172,D,
14,1173,D,
15,1185,D,
16,1212,A,
17,1212,D,
18,1220,D,
19,1310,D,
20,1311,D,
21,1311,E,
22,1330,D,
23,1331,A,
24,1331,D,
25,1332,A,
26,1412,A,
27,1412,D,
28,1413,D,
29,1414,D,2
30,1414,D,3
31,1416,D,
32,1416,D,
33,1418,D,
34,1419,D,
35,1432,A,
36,1432,A,
37,1432,D,
38,1433,D,
39,1434,A,1
40,1434,A,1
41,1434,A,2
42,1434,D,1
43,1435,D,
44,1435,E,
45,1436,A,
46,1436,A,
47,1436,A,
48,1436,D,
49,1436,D,
50,1450,D,
51,1455,D,
52,1510,A,
53,1510,D,
54,1510,E,
55,1511,D,
56,1511,E,
57,1530,A,
58,1530,D,
59,1530,E,
60,1531,D,
61,1532,D,
62,1532,E,
63,1611,D,
64,1612,D,
65,1630,D,
66,1716,A,
67,1716,D,
68,1735,A,
69,1810,D,
70,1820,D,
71,1978,D,
72,2101,A,
73,2101,D,1
74,2101,D,2
75,2101,D,3
76,2101,D,4
77,2101,E,
78,2102,A,
79,2102,D,
80,2102,E,
81,2110,A,
82,2110,D,
83,2111,A,
84,2111,D,
85,2111,E,
86,2112,D,
87,2113,A,
88,2113,A,
89,2113,D,
90,2120,A,
91,2120,D,
92,2120,E,
93,2130,A,
94,2130,D,2
95,2140,A,
96,2150,A,
97,2150,D,
98,2160,A,
99,2160,D,1
100,2160,D,2
101,2160,E,
102,2171,D,
103,2175,D,
104,2180,D,
105,2210,A,
106,2210,D,
107,2210,D,3
108,2220,D,
109,2220,E,
110,2221,D,
111,2221,E,
112,2230,D,
113,2230,E,
114,2240,D,
115,2240,E,
116,2250,D,
117,2250,E,
118,2251,A,
119,2251,D,
120,2251,E,
121,2252,D,
122,2253,D,
123,2260,A,
124,2260,D,
125,2260,E,
126,2265,D,
127,2275,D,
128,2311,D,
129,2321,D,
130,2330,D,
131,2340,D,
132,2340,E,
